record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
CELL,A*,,,5,6,,,,,,,,X,,,,
CELL,A*,,,5,7,,,,,,,,X,,,,
CELL,A*,,,5,8,,,,,,,,X,,,,
CELL,A*,,,5,9,,,,,,,,X,,,,
CELL,A*,,,5,10,,,,,,,,X,,,,
CELL,A*,,,5,11,,,,,,,,.,,,,
CELL,A*,,,6,0,,,,,,,,A,,,,
CELL,A*,,,6,1,,,,,,,,.,,,,
CELL,A*,,,6,2,,,,,,,,.,,,,
CELL,A*,,,6,3,,,,,,,,.,,,,
CELL,A*,,,6,4,,,,,,,,X,,,,
CELL,A*,,,6,5,,,,,,,,.,,,,
CELL,A*,,,6,6,,,,,,,,.,,,,
CELL,A*,,,6,7,,,,,,,,.,,,,
CELL,A*,,,6,8,,,,,,,,.,,,,
CELL,A*,,,6,9,,,,,,,,.,,,,
CELL,A*,,,6,10,,,,,,,,.,,,,
CELL,A*,,,6,11,,,,,,,,.,,,,
EVENT,A*,0,DISCOVER,6,0,,,0,17,1,,,,,,,
EVENT,A*,1,EXPAND,6,0,,,0,17,0,,,,,,,
EVENT,A*,2,DISCOVER,6,1,6,0,1,17,1,,,,,,,
EVENT,A*,3,EXPAND,6,1,6,0,1,17,0,,,,,,,
EVENT,A*,4,DISCOVER,6,2,6,1,2,17,1,,,,,,,
EVENT,A*,5,EXPAND,6,2,6,1,2,17,0,,,,,,,
EVENT,A*,6,DISCOVER,6,3,6,2,3,17,1,,,,,,,
EVENT,A*,7,EXPAND,6,3,6,2,3,17,0,,,,,,,
EVENT,A*,8,DISCOVER,5,3,6,3,4,17,1,,,,,,,
EVENT,A*,9,EXPAND,5,3,6,3,4,17,0,,,,,,,
EVENT,A*,10,DISCOVER,4,3,5,3,5,17,1,,,,,,,
EVENT,A*,11,EXPAND,4,3,5,3,5,17,0,,,,,,,
EVENT,A*,12,DISCOVER,4,2,4,3,6,19,1,,,,,,,
EVENT,A*,13,DISCOVER,3,3,4,3,6,17,2,,,,,,,
EVENT,A*,14,EXPAND,3,3,4,3,6,17,1,,,,,,,
EVENT,A*,15,DISCOVER,2,3,3,3,7,17,2,,,,,,,
EVENT,A*,16,EXPAND,2,3,3,3,7,17,1,,,,,,,
EVENT,A*,17,DISCOVER,2,4,2,3,8,17,2,,,,,,,
EVENT,A*,18,EXPAND,2,4,2,3,8,17,1,,,,,,,
EVENT,A*,19,DISCOVER,2,5,2,4,9,17,2,,,,,,,
EVENT,A*,20,EXPAND,2,5,2,4,9,17,1,,,,,,,
EVENT,A*,21,DISCOVER,2,6,2,5,10,17,2,,,,,,,
EVENT,A*,22,EXPAND,2,6,2,5,10,17,1,,,,,,,
EVENT,A*,23,DISCOVER,2,7,2,6,11,17,2,,,,,,,
EVENT,A*,24,EXPAND,2,7,2,6,11,17,1,,,,,,,
EVENT,A*,25,DISCOVER,2,8,2,7,12,17,2,,,,,,,
EVENT,A*,26,EXPAND,2,8,2,7,12,17,1,,,,,,,
EVENT,A*,27,DISCOVER,2,9,2,8,13,17,2,,,,,,,
EVENT,A*,28,EXPAND,2,9,2,8,13,17,1,,,,,,,
EVENT,A*,29,DISCOVER,3,9,2,9,14,19,2,,,,,,,
EVENT,A*,30,EXPAND,3,9,2,9,14,19,1,,,,,,,
EVENT,A*,31,DISCOVER,4,9,3,9,15,21,2,,,,,,,
EVENT,A*,32,EXPAND,4,2,4,3,6,19,1,,,,,,,
EVENT,A*,33,DISCOVER,4,1,4,2,7,21,2,,,,,,,
EVENT,A*,34,EXPAND,4,1,4,2,7,21,1,,,,,,,
EVENT,A*,35,DISCOVER,3,1,4,1,8,21,2,,,,,,,
EVENT,A*,36,EXPAND,3,1,4,1,8,21,1,,,,,,,
EVENT,A*,37,DISCOVER,2,1,3,1,9,21,2,,,,,,,
EVENT,A*,38,EXPAND,2,1,3,1,9,21,1,,,,,,,
EVENT,A*,39,DISCOVER,1,1,2,1,10,21,2,,,,,,,
EVENT,A*,40,EXPAND,1,1,2,1,10,21,1,,,,,,,
EVENT,A*,41,DISCOVER,0,1,1,1,11,21,2,,,,,,,
EVENT,A*,42,EXPAND,0,1,1,1,11,21,1,,,,,,,
EVENT,A*,43,DISCOVER,0,2,0,1,12,21,2,,,,,,,
EVENT,A*,44,EXPAND,0,2,0,1,12,21,1,,,,,,,
EVENT,A*,45,DISCOVER,0,3,0,2,13,21,2,,,,,,,
EVENT,A*,46,EXPAND,0,3,0,2,13,21,1,,,,,,,
EVENT,A*,47,DISCOVER,0,4,0,3,14,21,2,,,,,,,
EVENT,A*,48,EXPAND,0,4,0,3,14,21,1,,,,,,,
EVENT,A*,49,DISCOVER,0,5,0,4,15,21,2,,,,,,,
EVENT,A*,50,EXPAND,0,5,0,4,15,21,1,,,,,,,
EVENT,A*,51,DISCOVER,0,6,0,5,16,21,2,,,,,,,
EVENT,A*,52,EXPAND,0,6,0,5,16,21,1,,,,,,,
EVENT,A*,53,DISCOVER,0,7,0,6,17,21,2,,,,,,,
EVENT,A*,54,EXPAND,0,7,0,6,17,21,1,,,,,,,
EVENT,A*,55,DISCOVER,0,8,0,7,18,21,2,,,,,,,
EVENT,A*,56,EXPAND,0,8,0,7,18,21,1,,,,,,,
EVENT,A*,57,DISCOVER,0,9,0,8,19,21,2,,,,,,,
EVENT,A*,58,EXPAND,0,9,0,8,19,21,1,,,,,,,
EVENT,A*,59,DISCOVER,0,10,0,9,20,21,2,,,,,,,
EVENT,A*,60,EXPAND,0,10,0,9,20,21,1,,,,,,,
EVENT,A*,61,DISCOVER,0,11,0,10,21,21,2,,,,,,,
EVENT,A*,62,EXPAND,0,11,0,10,21,21,1,,,,,,,
PATH,A*,0,,6,0,,,,,,,,,,,,
PATH,A*,1,,6,1,,,,,,,,,,,,
PATH,A*,2,,6,2,,,,,,,,,,,,
PATH,A*,3,,6,3,,,,,,,,,,,,
PATH,A*,4,,5,3,,,,,,,,,,,,
PATH,A*,5,,4,3,,,,,,,,,,,,
PATH,A*,6,,4,2,,,,,,,,,,,,
PATH,A*,7,,4,1,,,,,,,,,,,,
PATH,A*,8,,3,1,,,,,,,,,,,,
PATH,A*,9,,2,1,,,,,,,,,,,,
PATH,A*,10,,1,1,,,,,,,,,,,,
PATH,A*,11,,0,1,,,,,,,,,,,,
PATH,A*,12,,0,2,,,,,,,,,,,,
PATH,A*,13,,0,3,,,,,,,,,,,,
PATH,A*,14,,0,4,,,,,,,,,,,,
PATH,A*,15,,0,5,,,,,,,,,,,,
PATH,A*,16,,0,6,,,,,,,,,,,,
PATH,A*,17,,0,7,,,,,,,,,,,,
PATH,A*,18,,0,8,,,,,,,,,,,,
PATH,A*,19,,0,9,,,,,,,,,,,,
PATH,A*,20,,0,10,,,,,,,,,,,,
PATH,A*,21,,0,11,,,,,,,,,,,,
