record_type,algorithm,step,event,row,col,parent_row,parent_col,g,f,frontier_size,maze_rows,maze_cols,cell_value,start_row,start_col,end_row,end_col
CELL,BFS,,,5,8,,,,,,,,X,,,,
CELL,BFS,,,5,9,,,,,,,,X,,,,
CELL,BFS,,,5,10,,,,,,,,X,,,,
CELL,BFS,,,5,11,,,,,,,,.,,,,
CELL,BFS,,,6,0,,,,,,,,A,,,,
CELL,BFS,,,6,1,,,,,,,,.,,,,
CELL,BFS,,,6,2,,,,,,,,.,,,,
CELL,BFS,,,6,3,,,,,,,,.,,,,
CELL,BFS,,,6,4,,,,,,,,X,,,,
CELL,BFS,,,6,5,,,,,,,,.,,,,
CELL,BFS,,,6,6,,,,,,,,.,,,,
CELL,BFS,,,6,7,,,,,,,,.,,,,
CELL,BFS,,,6,8,,,,,,,,.,,,,
CELL,BFS,,,6,9,,,,,,,,.,,,,
CELL,BFS,,,6,10,,,,,,,,.,,,,
CELL,BFS,,,6,11,,,,,,,,.,,,,
EVENT,BFS,0,DISCOVER,6,0,,,0,,1,,,,,,,
EVENT,BFS,1,EXPAND,6,0,,,,,0,,,,,,,
EVENT,BFS,2,DISCOVER,6,1,6,0,,,1,,,,,,,
EVENT,BFS,3,EXPAND,6,1,6,0,,,0,,,,,,,
EVENT,BFS,4,DISCOVER,6,2,6,1,,,1,,,,,,,
EVENT,BFS,5,EXPAND,6,2,6,1,,,0,,,,,,,
EVENT,BFS,6,DISCOVER,6,3,6,2,,,1,,,,,,,
EVENT,BFS,7,EXPAND,6,3,6,2,,,0,,,,,,,
EVENT,BFS,8,DISCOVER,5,3,6,3,,,1,,,,,,,
EVENT,BFS,9,EXPAND,5,3,6,3,,,0,,,,,,,
EVENT,BFS,10,DISCOVER,4,3,5,3,,,1,,,,,,,
EVENT,BFS,11,EXPAND,4,3,5,3,,,0,,,,,,,
EVENT,BFS,12,DISCOVER,4,2,4,3,,,1,,,,,,,
EVENT,BFS,13,DISCOVER,3,3,4,3,,,2,,,,,,,
EVENT,BFS,14,EXPAND,4,2,4,3,,,1,,,,,,,
EVENT,BFS,15,DISCOVER,4,1,4,2,,,2,,,,,,,
EVENT,BFS,16,EXPAND,3,3,4,3,,,1,,,,,,,
EVENT,BFS,17,DISCOVER,2,3,3,3,,,2,,,,,,,
EVENT,BFS,18,EXPAND,4,1,4,2,,,1,,,,,,,
EVENT,BFS,19,DISCOVER,3,1,4,1,,,2,,,,,,,
EVENT,BFS,20,EXPAND,2,3,3,3,,,1,,,,,,,
EVENT,BFS,21,DISCOVER,2,4,2,3,,,2,,,,,,,
EVENT,BFS,22,EXPAND,3,1,4,1,,,1,,,,,,,
EVENT,BFS,23,DISCOVER,2,1,3,1,,,2,,,,,,,
EVENT,BFS,24,EXPAND,2,4,2,3,,,1,,,,,,,
EVENT,BFS,25,DISCOVER,2,5,2,4,,,2,,,,,,,
EVENT,BFS,26,EXPAND,2,1,3,1,,,1,,,,,,,
EVENT,BFS,27,DISCOVER,1,1,2,1,,,2,,,,,,,
EVENT,BFS,28,EXPAND,2,5,2,4,,,1,,,,,,,
EVENT,BFS,29,DISCOVER,2,6,2,5,,,2,,,,,,,
EVENT,BFS,30,EXPAND,1,1,2,1,,,1,,,,,,,
EVENT,BFS,31,DISCOVER,0,1,1,1,,,2,,,,,,,
EVENT,BFS,32,EXPAND,2,6,2,5,,,1,,,,,,,
EVENT,BFS,33,DISCOVER,2,7,2,6,,,2,,,,,,,
EVENT,BFS,34,EXPAND,0,1,1,1,,,1,,,,,,,
EVENT,BFS,35,DISCOVER,0,2,0,1,,,2,,,,,,,
EVENT,BFS,36,EXPAND,2,7,2,6,,,1,,,,,,,
EVENT,BFS,37,DISCOVER,2,8,2,7,,,2,,,,,,,
EVENT,BFS,38,EXPAND,0,2,0,1,,,1,,,,,,,
EVENT,BFS,39,DISCOVER,0,3,0,2,,,2,,,,,,,
EVENT,BFS,40,EXPAND,2,8,2,7,,,1,,,,,,,
EVENT,BFS,41,DISCOVER,2,9,2,8,,,2,,,,,,,
EVENT,BFS,42,EXPAND,0,3,0,2,,,1,,,,,,,
EVENT,BFS,43,DISCOVER,0,4,0,3,,,2,,,,,,,
EVENT,BFS,44,EXPAND,2,9,2,8,,,1,,,,,,,
EVENT,BFS,45,DISCOVER,3,9,2,9,,,2,,,,,,,
EVENT,BFS,46,EXPAND,0,4,0,3,,,1,,,,,,,
EVENT,BFS,47,DISCOVER,0,5,0,4,,,2,,,,,,,
EVENT,BFS,48,EXPAND,3,9,2,9,,,1,,,,,,,
EVENT,BFS,49,DISCOVER,4,9,3,9,,,2,,,,,,,
EVENT,BFS,50,EXPAND,0,5,0,4,,,1,,,,,,,
EVENT,BFS,51,DISCOVER,0,6,0,5,,,2,,,,,,,
EVENT,BFS,52,EXPAND,4,9,3,9,,,1,,,,,,,
EVENT,BFS,53,DISCOVER,4,8,4,9,,,2,,,,,,,
EVENT,BFS,54,EXPAND,0,6,0,5,,,1,,,,,,,
EVENT,BFS,55,DISCOVER,0,7,0,6,,,2,,,,,,,
EVENT,BFS,56,EXPAND,4,8,4,9,,,1,,,,,,,
EVENT,BFS,57,DISCOVER,4,7,4,8,,,2,,,,,,,
EVENT,BFS,58,EXPAND,0,7,0,6,,,1,,,,,,,
EVENT,BFS,59,DISCOVER,0,8,0,7,,,2,,,,,,,
EVENT,BFS,60,EXPAND,4,7,4,8,,,1,,,,,,,
EVENT,BFS,61,DISCOVER,4,6,4,7,,,2,,,,,,,
EVENT,BFS,62,EXPAND,0,8,0,7,,,1,,,,,,,
EVENT,BFS,63,DISCOVER,0,9,0,8,,,2,,,,,,,
EVENT,BFS,64,EXPAND,4,6,4,7,,,1,,,,,,,
EVENT,BFS,65,DISCOVER,4,5,4,6,,,2,,,,,,,
EVENT,BFS,66,EXPAND,0,9,0,8,,,1,,,,,,,
EVENT,BFS,67,DISCOVER,0,10,0,9,,,2,,,,,,,
EVENT,BFS,68,EXPAND,4,5,4,6,,,1,,,,,,,
EVENT,BFS,69,DISCOVER,5,5,4,5,,,2,,,,,,,
EVENT,BFS,70,EXPAND,0,10,0,9,,,1,,,,,,,
EVENT,BFS,71,DISCOVER,0,11,0,10,,,2,,,,,,,
EVENT,BFS,72,EXPAND,5,5,4,5,,,1,,,,,,,
EVENT,BFS,73,DISCOVER,6,5,5,5,,,2,,,,,,,
EVENT,BFS,74,EXPAND,0,11,0,10,,,1,,,,,,,
PATH,BFS,0,,6,0,,,,,,,,,,,,
PATH,BFS,1,,6,1,,,,,,,,,,,,
PATH,BFS,2,,6,2,,,,,,,,,,,,
PATH,BFS,3,,6,3,,,,,,,,,,,,
PATH,BFS,4,,5,3,,,,,,,,,,,,
PATH,BFS,5,,4,3,,,,,,,,,,,,
PATH,BFS,6,,4,2,,,,,,,,,,,,
PATH,BFS,7,,4,1,,,,,,,,,,,,
PATH,BFS,8,,3,1,,,,,,,,,,,,
PATH,BFS,9,,2,1,,,,,,,,,,,,
PATH,BFS,10,,1,1,,,,,,,,,,,,
PATH,BFS,11,,0,1,,,,,,,,,,,,
PATH,BFS,12,,0,2,,,,,,,,,,,,
PATH,BFS,13,,0,3,,,,,,,,,,,,
PATH,BFS,14,,0,4,,,,,,,,,,,,
PATH,BFS,15,,0,5,,,,,,,,,,,,
PATH,BFS,16,,0,6,,,,,,,,,,,,
PATH,BFS,17,,0,7,,,,,,,,,,,,
PATH,BFS,18,,0,8,,,,,,,,,,,,
PATH,BFS,19,,0,9,,,,,,,,,,,,
PATH,BFS,20,,0,10,,,,,,,,,,,,
PATH,BFS,21,,0,11,,,,,,,,,,,,
